,category,image_url,title
0,basketball,https://i5.walmartimages.com/seo/Spalding-Super-Tack-Pro-Indoor-and-Outdoor-Basketball-29-5-In_f9c0091f-21c7-4ad9-8384-1ead9a98cc46.4e54e6e5b53ef399e595c59d19113ee0.jpeg?odnHeight=180&odnWidth=180&odnBg=fffff,"Spalding Super Tack Pro Indoor and Outdoor Basketball, 29.5 In."
1,basketball,https://i5.walmartimages.com/seo/Spalding-Max-Grip-TF-Indoor-Outdoor-Basketball-29-5-In_7e6fb21f-03fe-41ab-9b02-56dab4a29366.ffc0a1c9873f7c397ee7c52e4259ccf0.jpeg?odnHeight=180&odnWidth=180&odnBg=fffff,Spalding Max Grip TF Indoor-Outdoor Basketball 29.5 In.
2,basketball,https://i5.walmartimages.com/seo/FlashCatch-Light-Up-Basketball-Glow-Dark-NO-7-Sports-Gifts-For-Boys-Girls-8-12-Year-Old-Kids-Teens-Gift-Ideas-Cool-Boy-Toys-Glowing-Ball-Night-Activi_3cd9826c-6af1-40fc-9ea3-ff9c1a3bfead.7a659ed9f94ecee292a386b3c4e245ad.jpeg?odnHeight=180&odnWidth=180&odnBg=fffff,FlashCatch Light Up Basketball - Glow in the Dark Basketball - NO 7 - Sports Gifts For Boys & Girls 8-12+ Year Old - Kids & Teens Gift Ideas - Cool Boy Toys Glowing Ball Night Activity
3,basketball,https://i5.walmartimages.com/seo/AND1-Fantom-Rubber-Basketball-Black-White-Graffiti-29-5_d650a16d-512f-4b8d-aebf-da7575db82b2.f994a0eccaa85ed48b983eea77151209.jpeg?odnHeight=180&odnWidth=180&odnBg=fffff,"AND1 Fantom Rubber Basketball, Black & White Graffiti, 29.5"""
4,basketball,https://i5.walmartimages.com/seo/Wilson-NBA-DRV-Outdoor-Basketball-29-5-Brown_91c4e623-197f-44ca-afdc-7aecee38acb0.b2d792f6a0713d15976b5850a8d8a610.jpeg?odnHeight=180&odnWidth=180&odnBg=fffff,"Wilson NBA DRV Outdoor Basketball 29.5"" - Brown"
5,basketball,https://i5.walmartimages.com/seo/Spalding-Super-Tack-Pro-Indoor-and-Outdoor-Basketball-29-5-In_f9c0091f-21c7-4ad9-8384-1ead9a98cc46.4e54e6e5b53ef399e595c59d19113ee0.jpeg?odnHeight=180&odnWidth=180&odnBg=fffff,"Spalding Super Tack Pro Indoor and Outdoor Basketball, 29.5 In."
6,basketball,https://i5.walmartimages.com/seo/Spalding-Fast-Break-All-Surface-Blue-Silver-Basketball-29-5_f5544668-8be4-43b6-8420-5640c9def267.5a295ffaa3643423d1a60179e10fab7a.jpeg?odnHeight=180&odnWidth=180&odnBg=fffff,"Spalding Fast Break All Surface Blue/Silver Basketball 29.5"""
7,basketball,https://i5.walmartimages.com/seo/Wilson-NCAA-Street-Shot-Outdoor-Basketball-Official-Size-29-5_e41edc68-d533-445a-8017-9e18bce6d346_1.0d51d0f7eb9c33d54302ac0bbb889dd0.jpeg?odnHeight=180&odnWidth=180&odnBg=fffff,"Wilson NCAA Street Shot Outdoor Basketball, Official Size 29.5"""
8,basketball,https://i5.walmartimages.com/seo/Wilson-NCAA-Final-Four-Edition-Basketball-Official-Size-29-5_12d53046-02f0-474e-b938-ddec147650ba_1.36c752cebb5dcb256078a2bc56ff75fa.jpeg?odnHeight=180&odnWidth=180&odnBg=fffff,"Wilson NCAA Final Four Edition Basketball, Official Size - 29.5"""
9,basketball,https://i5.walmartimages.com/seo/AND1-Fantom-Rubber-Basketball-Black-White-Graffiti-29-5_d650a16d-512f-4b8d-aebf-da7575db82b2.f994a0eccaa85ed48b983eea77151209.jpeg?odnHeight=180&odnWidth=180&odnBg=fffff,"AND1 Fantom Rubber Basketball, Black & White Graffiti, 29.5"""
10,basketball,https://i5.walmartimages.com/seo/AND1-Enigma-Indoor-Outdoor-Intermediate-Premium-Rubber-Basketball-Teal-and-Black-28-5-in_9e7e02c2-a8c1-44aa-b080-cf9049931bc9.7e624106162847c80aaaba448a07d303.jpeg?odnHeight=180&odnWidth=180&odnBg=fffff,"AND1 Enigma Indoor/Outdoor Intermediate Premium Rubber Basketball, Teal and Black, 28.5 in"
